=== cnn_davis_regB_davis_verify_s4221_gpu | device=cuda:0 | pool=max | head_dim=1024 | head_layers=2 | seed=4221 | embed_dim=128 ===
Trainable parameters: 800,417
[cnn_davis_regB_davis_verify_s4221_gpu] epoch   5 |   3.4s | train_mse 0.5943 | test MSE 0.5514 CI 0.7894 rm2 0.3095 Pearson 0.5598 balAcc 0.5881
[cnn_davis_regB_davis_verify_s4221_gpu] epoch  10 |   3.4s | train_mse 0.5231 | test MSE 0.4788 CI 0.8204 rm2 0.4004 Pearson 0.6360 balAcc 0.6283
[cnn_davis_regB_davis_verify_s4221_gpu] epoch  15 |   3.4s | train_mse 0.4868 | test MSE 0.5045 CI 0.8259 rm2 0.4322 Pearson 0.6608 balAcc 0.6697
[cnn_davis_regB_davis_verify_s4221_gpu] epoch  20 |   3.4s | train_mse 0.3851 | test MSE 0.3735 CI 0.8508 rm2 0.5382 Pearson 0.7369 balAcc 0.7041
[cnn_davis_regB_davis_verify_s4221_gpu] epoch  25 |   3.4s | train_mse 0.3485 | test MSE 0.3374 CI 0.8602 rm2 0.5309 Pearson 0.7664 balAcc 0.6907
[cnn_davis_regB_davis_verify_s4221_gpu] epoch  30 |   3.4s | train_mse 0.3233 | test MSE 0.3150 CI 0.8683 rm2 0.5985 Pearson 0.7819 balAcc 0.7312
[cnn_davis_regB_davis_verify_s4221_gpu] epoch  35 |   3.4s | train_mse 0.2931 | test MSE 0.2997 CI 0.8728 rm2 0.6187 Pearson 0.7926 balAcc 0.7286
[cnn_davis_regB_davis_verify_s4221_gpu] epoch  40 |   3.4s | train_mse 0.2737 | test MSE 0.2987 CI 0.8626 rm2 0.6249 Pearson 0.7931 balAcc 0.7389
[cnn_davis_regB_davis_verify_s4221_gpu] epoch  45 |   3.4s | train_mse 0.2417 | test MSE 0.2764 CI 0.8764 rm2 0.6255 Pearson 0.8116 balAcc 0.7491
[cnn_davis_regB_davis_verify_s4221_gpu] epoch  50 |   3.4s | train_mse 0.2195 | test MSE 0.2788 CI 0.8780 rm2 0.6296 Pearson 0.8145 balAcc 0.7723
[cnn_davis_regB_davis_verify_s4221_gpu] epoch  55 |   3.4s | train_mse 0.2071 | test MSE 0.2635 CI 0.8753 rm2 0.6700 Pearson 0.8237 balAcc 0.7783
[cnn_davis_regB_davis_verify_s4221_gpu] epoch  60 |   3.4s | train_mse 0.1893 | test MSE 0.2504 CI 0.8816 rm2 0.6748 Pearson 0.8345 balAcc 0.7615
[cnn_davis_regB_davis_verify_s4221_gpu] epoch  65 |   3.4s | train_mse 0.1858 | test MSE 0.2839 CI 0.8762 rm2 0.6089 Pearson 0.8197 balAcc 0.8036
[cnn_davis_regB_davis_verify_s4221_gpu] epoch  70 |   3.4s | train_mse 0.1648 | test MSE 0.2401 CI 0.8736 rm2 0.6685 Pearson 0.8380 balAcc 0.7828
[cnn_davis_regB_davis_verify_s4221_gpu] epoch  75 |   3.4s | train_mse 0.1553 | test MSE 0.2346 CI 0.8921 rm2 0.6838 Pearson 0.8499 balAcc 0.8122
[cnn_davis_regB_davis_verify_s4221_gpu] epoch  80 |   3.4s | train_mse 0.1611 | test MSE 0.2534 CI 0.8824 rm2 0.6522 Pearson 0.8371 balAcc 0.7639
[cnn_davis_regB_davis_verify_s4221_gpu] epoch  85 |   3.4s | train_mse 0.1483 | test MSE 0.2354 CI 0.8917 rm2 0.6709 Pearson 0.8422 balAcc 0.7788
[cnn_davis_regB_davis_verify_s4221_gpu] epoch  90 |   3.4s | train_mse 0.1419 | test MSE 0.2294 CI 0.8824 rm2 0.7066 Pearson 0.8455 balAcc 0.7767
[cnn_davis_regB_davis_verify_s4221_gpu] epoch  95 |   3.4s | train_mse 0.1370 | test MSE 0.2317 CI 0.8915 rm2 0.6648 Pearson 0.8476 balAcc 0.7881
[cnn_davis_regB_davis_verify_s4221_gpu] epoch 100 |   3.4s | train_mse 0.1273 | test MSE 0.2351 CI 0.8820 rm2 0.6940 Pearson 0.8414 balAcc 0.7685

=== BEST [cnn_davis_regB_davis_verify_s4221_gpu] === epoch 75 | MSE 0.2346 | CI 0.8921 | rm2 0.6838
params 800,417 | mean 3.4s/epoch | total 5.7 min
